,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.0002996666666666,0.0051049999999999,0.010122,9.0
Boehm_JProteomeRes2014,0.0004446666666666,0.0043193333333333,0.0154583333333333,9.0
Crauste_CellSystems2017,0.000649,0.0146663333333333,0.009276,12.0
Oliveira_NatCommun2021,0.0006316666666666,0.0079483333333333,0.0164016666666666,12.0
Bruno_JExpBot2016,0.000571,0.0069743333333333,0.0207836666666666,13.0
Sneyd_PNAS2002,0.002472,0.0483039999999999,0.175756,15.0
Okuonghae_ChaosSolitonsFractals2020,0.0003123333333333,0.0056876666666666,0.0118049999999999,16.0
Fujita_SciSignal2010,0.0032543333333333,0.1283206666666666,0.117227,19.0
Elowitz_Nature2000,0.0018479999999999,0.040303,0.0640376666666666,21.0
Fiedler_BMC2016,0.0008423333333333,0.022945,0.030893,22.0
Brannmark_JBC2010,0.0035913333333333,0.080751,0.1011413333333333,22.0
Borghans_BiophysChem1997,0.0024576666666666,0.072508,0.0586859999999999,23.0
Schwen_PONE2014,0.005614,0.1432446666666666,0.2652973333333333,30.0
Weber_BMC2015,0.0010993333333333,0.0622033333333333,0.0340199999999999,36.0
Isensee_JCB2018,0.060507,2.9904560000000013,2.08179,46.0
Zheng_PNAS2012,0.000423,0.0142276666666666,0.0198526666666666,46.0
Giordano_Nature2020,0.0003466666666666,0.0096376666666666,0.0144123333333333,50.0
Beer_MolBioSystems2014,0.0222286666666665,0.1803523333333325,4.636260999999997,72.0
Lucarelli_CellSystems2018,0.0102286666666666,1.1554723333333332,0.3805256666666667,84.0
Bachmann_MSB2011,0.0185856666666666,1.0830533333333332,0.735804,113.0
