,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.000296,0.0054666666666666,0.009954,9.0
Boehm_JProteomeRes2014,0.000488,0.0041346666666666,0.0158853333333333,9.0
Crauste_CellSystems2017,0.000644,0.014095,0.0092316666666666,12.0
Oliveira_NatCommun2021,0.0008063333333333,0.0082663333333333,0.0165753333333333,12.0
Bruno_JExpBot2016,0.0009073333333333,0.0074733333333333,0.022105,13.0
Sneyd_PNAS2002,0.0025923333333333,0.0481623333333333,0.176933,15.0
Okuonghae_ChaosSolitonsFractals2020,0.000312,0.0058173333333333,0.0120836666666666,16.0
Fujita_SciSignal2010,0.0036019999999999,0.1274506666666666,0.116327,19.0
Elowitz_Nature2000,0.0014253333333333,0.0403933333333333,0.064599,21.0
Fiedler_BMC2016,0.0007016666666666,0.023174,0.0306283333333333,22.0
Brannmark_JBC2010,0.0035076666666666,0.0806336666666666,0.1009766666666666,22.0
Borghans_BiophysChem1997,0.0028553333333333,0.0707516666666666,0.0572976666666666,23.0
Schwen_PONE2014,0.0057469999999999,0.1434026666666666,0.2693583333333333,30.0
Weber_BMC2015,0.0012306666666666,0.062687,0.03394,36.0
Isensee_JCB2018,0.0607843333333333,2.9833156666666665,2.079605666666667,46.0
Zheng_PNAS2012,0.0002896666666666,0.0142196666666666,0.0198013333333333,46.0
Giordano_Nature2020,0.0003513333333333,0.0096759999999999,0.0143016666666666,50.0
Beer_MolBioSystems2014,0.0222563333333332,0.1774573333333321,4.65465333333333,72.0
Lucarelli_CellSystems2018,0.0102056666666666,1.162793,0.3779403333333333,84.0
Bachmann_MSB2011,0.0185546666666666,1.0894830000000002,0.7433183333333333,113.0
