,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.000294,0.0049666666666666,0.0099813333333333,9.0
Boehm_JProteomeRes2014,0.0004316666666666,0.0051709999999999,0.0157816666666666,9.0
Crauste_CellSystems2017,0.0006463333333333,0.0139566666666666,0.0091086666666666,12.0
Oliveira_NatCommun2021,0.000743,0.0083346666666666,0.0163866666666666,12.0
Bruno_JExpBot2016,0.000671,0.006591,0.0212083333333333,13.0
Sneyd_PNAS2002,0.0025356666666666,0.048468,0.1777379999999999,15.0
Okuonghae_ChaosSolitonsFractals2020,0.0003176666666666,0.0058066666666666,0.0120226666666666,16.0
Fujita_SciSignal2010,0.003143,0.1286603333333333,0.1172863333333333,19.0
Elowitz_Nature2000,0.0022449999999999,0.040014,0.0639846666666666,21.0
Fiedler_BMC2016,0.0007553333333333,0.0232356666666666,0.030339,22.0
Brannmark_JBC2010,0.00326,0.080704,0.1016823333333333,22.0
Borghans_BiophysChem1997,0.0021896666666666,0.071129,0.0573226666666666,23.0
Schwen_PONE2014,0.005755,0.1439863333333333,0.2660476666666667,30.0
Weber_BMC2015,0.001108,0.0621833333333333,0.034754,36.0
Isensee_JCB2018,0.0611886666666666,3.017448333333333,2.072229,46.0
Zheng_PNAS2012,0.000354,0.0142846666666666,0.0200776666666666,46.0
Giordano_Nature2020,0.0003686666666666,0.0095533333333333,0.0142673333333333,50.0
Beer_MolBioSystems2014,0.0220989999999999,0.1768653333333322,4.676894999999998,72.0
Lucarelli_CellSystems2018,0.0102743333333333,1.1623693333333331,0.3775393333333333,84.0
Bachmann_MSB2011,0.018076,1.0815973333333335,0.7433953333333334,113.0
